,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0005611510789892871,0.006460431655416627,0.0004568345324017389,0.00017266187043408294,0.011366906475460847,0.035604651163191385,0.010876404494635781
max,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.25,0.0470000000204891,0.235000000015134
min,0.0,0.0,0.0,0.0,0.0,0.014999999984866008,0.0
